,pais,poblacion
0,Afganistán,29.121.286
1,Albania,2.986.952
2,Alemania,81.802.257
3,Andorra,84.000
4,Angola,13.068.161
5,Anguila,
6,Antigua y Barbuda,86.754
7,Antillas Neerlandesas,
8,Arabia Saudita,25.731.776
9,Argelia,34.586.184
10,Argentina,41.343.201
11,Armenia,2.968.000
12,Aruba,
13,Australia,21.515.754
14,Austria,8.205.000
15,Azerbaiyán,8.303.512
16,Bahamas,301.790
17,Bangladés,156.118.464
18,Barbados,285.653
19,Baréin,738.004
20,Bélgica,10.403.000
21,Belice,314.522
22,Benín,9.056.010
23,Bermudas,
24,Bielorrusia,9.685.000
25,Birmania,53.414.374
26,Bolivia,9.947.418
27,Bosnia y Herzegovina,4.590.000
28,Botsuana,2.029.307
29,Brasil,201.103.330
30,Brunéi,395.027
31,Bulgaria,7.148.785
32,Burkina Faso,16.241.811
33,Burundi,9.863.117
34,Bután,699.847
35,Cabo Verde,508.659
36,Camboya,14.453.680
37,Camerún,19.294.149
38,Canadá,33.679.000
39,Catar,840.926
40,Chad,10.543.464
41,Chile,16.746.491
42,China,1.330.044.000
43,Chipre,1.102.677
44,Ciudad del Vaticano,921
45,Colombia,47.790.000
46,Comoras,773.407
47,Corea del Norte,22.912.177
48,Corea del Sur,48.422.644
49,Costa de Marfil,21.058.798
50,Costa Rica,4.516.220
51,Croacia,4.491.000
52,Cuba,11.423.000
53,Dinamarca,5.484.000
54,Dominica,72.813
55,Ecuador,14.790.608
56,Egipto,80.471.869
57,El Salvador,6.052.064
58,Emiratos Árabes Unidos,4.975.593
59,Eritrea,5.792.984
60,Eslovaquia,5.455.000
61,Eslovenia,2.007.000
62,España,46.505.963
63,Estado de Palestina,
64,Estados Unidos,310.232.863
65,Estonia,1.291.170
66,Etiopía,88.013.491
67,Filipinas,99.900.177
68,Finlandia,5.244.000
69,Fiyi,875.983
70,Francia,64.768.389
71,Gabón,1.545.255
72,Gambia,1.593.256
73,Georgia,4.630.000
74,Ghana,24.339.838
75,Gibraltar,
76,Granada,107.818
77,Grecia,11.000.000
78,Groenlandia,
79,Guadalupe,
80,Guam,
81,Guatemala,13.550.440
82,Guayana Francesa,
83,Guernsey,
84,Guinea,10.324.025
85,Guinea-Bisáu,1.565.126
86,Guinea Ecuatorial,1.014.999
87,Guyana,748.486
88,Haití,9.648.924
89,Honduras,7.989.415
90,Hong Kong,
91,Hungría,9.982.000
92,India,1.173.108.018
93,Indonesia,242.968.342
94,Irak,29.671.605
95,Irán,76.923.300
96,Irlanda,4.622.917
97,Isla Bouvet,
98,Isla de Man,
99,Isla de Navidad,
100,Islandia,308.910
101,Islas Caimán,
102,Islas Cocos,
103,Islas Cook,
104,Islas Feroe,
105,Islas Georgias del Sur y Sandwich del Sur,
106,Islas Heard y McDonald,
107,Islas Malvinas,
108,Islas Marianas del Norte,
109,Islas Marshall,
110,Islas Pitcairn,
111,Islas Salomón,559.198
112,Islas Turcas y Caicos,
113,Islas Vírgenes Británicas,
114,Islas Vírgenes de los Estados Unidos,
115,Israel,7.353.985
116,Italia,60.340.328
117,Jamaica,2.847.232
118,Japón,127.288.000
119,Jersey,
120,Jordania,6.407.085
121,Kazajistán,15.340.000
122,Kenia,40.046.566
123,Kirguistán,5.508.626
124,Kiribati,92.533
125,Kuwait,2.789.132
126,Laos,6.368.162
127,Lesoto,1.919.552
128,Letonia,2.217.969
129,Líbano,4.125.247
130,Liberia,3.685.076
131,Libia,6.461.454
132,Liechtenstein,35.000
133,Lituania,2.944.459
134,Luxemburgo,497.538
135,Macao,
136,Madagascar,21.281.844
137,Malasia,28.274.729
138,Malaui,15.447.500
139,Maldivas,395.650
140,Malí,13.796.354
141,Malta,403.000
142,Marruecos,31.627.428
143,Martinica,
144,Mauricio,1.294.104
145,Mauritania,3.205.060
146,Mayotte,
147,México,112.468.855
148,Micronesia,
149,Moldavia,4.324.000
150,Mónaco,32.965
151,Mongolia,3.086.918
152,Montenegro,666.730
153,Montserrat,
154,Mozambique,22.061.451
155,Namibia,2.128.471
156,Nauru,10.065
157,Nepal,28.951.852
158,Nicaragua,5.995.928
159,Níger,15.878.271
160,Nigeria,154.000.000
161,Niue,
162,Norfolk,
163,Noruega,5.009.150
164,Nueva Caledonia,
165,Nueva Zelanda,4.252.277
166,Omán,2.967.717
167,Países Bajos,16.645.000
168,Pakistán,184.404.791
169,Palaos,
170,Panamá,3.410.676
171,Papúa Nueva Guinea,6.064.515
172,Paraguay,6.375.830
173,Perú,29.907.003
174,Polinesia Francesa,
175,Polonia,38.500.000
176,Portugal,10.676.000
177,Puerto Rico,
178,Reino Unido,62.348.447
179,República Democrática del Congo,70.916.439
180,República Árabe Saharaui Democrática,
181,República Centroafricana,4.844.927
182,República Checa,10.476.000
183,República de Macedonia,2.062.294
184,República del Congo,3.039.126
185,República Dominicana,9.823.821
186,Reunión,
187,Ruanda,11.055.976
188,Rumania,21.959.278
189,Rusia,140.702.000
190,Samoa,192.001
191,Samoa Americana,
192,San Cristóbal y Nieves,51.134
193,San Marino,31.477
194,San Pedro y Miquelón,
195,San Vicente y las Granadinas,104.217
196,"Santa Elena, Ascensión y Tristán de Acuña",
197,Santa Lucía,160.922
198,Santo Tomé y Príncipe,175.808
199,Senegal,12.323.252
200,Serbia,7.344.847
201,Seychelles,88.340
202,Sierra Leona,5.245.695
203,Singapur,4.701.069
204,Siria,22.198.110
205,Somalia,10.112.453
206,Sri Lanka,21.513.990
207,Suazilandia,1.354.051
208,Sudáfrica,49.000.000
209,Sudán,35.000.000
210,Suecia,9.555.893
211,Suiza,7.581.000
212,Surinam,492.829
213,Svalbard y Jan Mayen,
214,Tailandia,67.089.500
215,Taiwán,22.894.384
216,Tanzania,41.892.895
217,Tayikistán,7.487.489
218,Territorio Británico del Océano Índico,
219,Territorios Australes Franceses,
220,Timor Oriental,1.154.625
221,Togo,6.587.239
222,Tokelau,
223,Tonga,122.580
224,Trinidad y Tobago,1.228.691
225,Túnez,10.589.025
226,Turkmenistán,4.940.916
227,Turquía,77.804.122
228,Tuvalu,10.472
229,Ucrania,45.415.596
230,Uganda,33.398.682
231,Uruguay,3.477.000
232,Uzbekistán,27.865.738
233,Vanuatu,221.552
234,Venezuela,27.223.228
235,Vietnam,89.571.130
236,Wallis y Futuna,
237,Yemen,23.495.361
238,Yibuti,740.528
239,Zambia,13.460.305
240,Zimbabue,11.651.858
